City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Severo-Kurilsk,RU,50.6789,156.125,42.33,74,60,5.95,broken clouds
190,Manokwari,ID,-0.8667,134.0833,83.95,73,94,5.1,overcast clouds
191,Imbituba,BR,-28.24,-48.6703,67.89,96,100,11.59,light rain
192,Guerrero Negro,MX,27.9769,-114.0611,60.1,81,100,17.18,overcast clouds
193,Ranong,TH,9.9658,98.6348,82.33,75,100,10.11,overcast clouds
194,San Jose,US,37.3394,-121.895,67.28,65,40,5.99,scattered clouds
195,Omboue,GA,-1.5746,9.2618,75.58,94,99,4.54,overcast clouds
196,Caravelas,BR,-17.7125,-39.2481,73.71,88,85,5.64,overcast clouds
197,Monrovia,LR,6.3005,-10.7969,76.77,84,96,4.61,light rain
198,Divnomorskoye,RU,44.5011,38.1353,63.25,90,50,1.9,scattered clouds
199,Rudbar,AF,30.15,62.6,86.0,22,0,12.41,clear sky
200,Port Augusta,AU,-32.5,137.7667,61.7,39,99,4.92,overcast clouds
201,Dali,CN,25.7,100.1833,76.21,48,62,6.58,broken clouds
202,Thompson,CA,55.7435,-97.8558,57.36,35,75,10.36,broken clouds
203,Sibolga,ID,1.7427,98.7792,82.67,71,64,4.56,broken clouds
204,Lazarev,RU,52.225,141.5131,40.03,85,73,10.65,broken clouds
205,Talnakh,RU,69.4865,88.3972,32.92,98,100,9.64,snow
206,Ternate,ID,0.8,127.4,83.23,78,13,9.73,few clouds
207,Itoman,JP,26.1247,127.6694,77.4,88,75,5.75,broken clouds
208,Bull Savanna,JM,17.8868,-77.5902,75.49,82,16,3.27,few clouds
209,Aklavik,CA,68.2191,-135.0107,34.52,63,100,15.77,overcast clouds
210,Gigmoto,PH,13.7796,124.39,88.81,64,23,4.97,few clouds
211,Kamaishi,JP,39.2667,141.8833,63.55,66,42,11.23,scattered clouds
212,Clyde River,CA,70.4692,-68.5914,30.43,80,1,6.91,clear sky
213,Dunedin,NZ,-45.8742,170.5036,49.8,89,100,8.01,overcast clouds
214,Provideniya,RU,64.3833,-173.3,46.31,37,11,10.98,few clouds
215,Hermanus,ZA,-34.4187,19.2345,56.89,86,35,13.58,light rain
216,Alice Springs,AU,-23.7,133.8833,62.15,39,0,17.09,clear sky
217,Kitovo,RU,56.8659,41.2825,57.87,86,100,2.21,overcast clouds
218,Rocha,UY,-34.4833,-54.3333,55.42,69,21,15.01,few clouds
219,Barcelos,PT,41.5388,-8.6151,58.84,92,5,3.04,clear sky
220,Skjervoy,NO,70.0311,20.9714,40.33,79,100,16.49,overcast clouds
221,Emmett,US,43.8735,-116.4993,70.97,42,0,2.53,clear sky
222,Kalavad,IN,22.2167,70.3833,85.6,61,22,14.38,few clouds
223,Yushan,CN,31.3776,120.9543,83.95,52,61,8.48,broken clouds
224,Atuona,PF,-9.8,-139.0333,79.05,72,25,14.18,scattered clouds
225,Simbahan,PH,6.3032,120.5836,83.37,67,44,1.5,scattered clouds
226,Buin,CL,-33.7333,-70.75,58.73,86,3,1.68,clear sky
227,Saint-Augustin,CA,51.226,-58.6502,41.04,63,35,18.95,scattered clouds
228,San Patricio,US,28.017,-97.5169,80.83,87,68,11.74,broken clouds
229,Mount Gambier,AU,-37.8333,140.7667,53.51,66,90,10.36,overcast clouds
230,Fairbanks,US,64.8378,-147.7164,49.1,44,75,16.11,broken clouds
231,Saint-Jerome,CA,45.7804,-74.0036,50.09,75,20,4.09,few clouds
232,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,20,4.54,few clouds
233,Yumen,CN,40.2833,97.2,76.75,19,3,4.29,clear sky
234,Acarau,BR,-2.8856,-40.12,76.96,87,23,10.74,few clouds
235,Hamilton,US,39.1834,-84.5333,52.77,93,90,4.0,overcast clouds
236,San Jeronimo,PE,-11.9472,-75.2829,45.32,82,19,2.59,few clouds
237,Grindavik,IS,63.8424,-22.4338,49.55,93,90,28.1,light rain
238,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,75,8.05,broken clouds
239,Cidreira,BR,-30.1811,-50.2056,62.6,96,100,10.71,moderate rain
